Class,CompletedDate,Latitude,Longitude,Installer
Single family,2014-04-10,47.5487583,-122.2796058,PUGET SOUND SOLAR
Single family,2017-08-31,47.51069908,-122.25869942,PUGET SOUND SOLAR
Single family,2019-01-22,47.56413077,-122.29212643,PUGET SOUND SOLAR
Single family,2019-11-18,47.55388387,-122.31197792,PUGET SOUND SOLAR
Single family,2015-08-06,47.59138182,-122.29369372,PUGET SOUND SOLAR
Single family,2013-05-06,47.67669674,-122.35770369,ARTISAN ELECTRIC INC
Single family,2014-09-02,47.57922408,-122.39229557,ARTISAN ELECTRIC INC
Single family,2018-11-28,47.52386718,-122.33205909,OFFSET SOLAR LLC
Single family,2015-12-28,47.63671874,-122.35416832,SUNERGY SYSTEMS
Single family,2015-07-09,47.55251273,-122.36525008,ARTISAN ELECTRIC INC
Single family,2016-11-07,47.67925369,-122.36955387,A&R SOLAR
Single family,2014-07-07,47.65489276,-122.27626817,A&R SOLAR
Single family,2019-01-25,47.67407952,-122.40218165,ARTISAN ELECTRIC INC
Single family,2019-01-30,47.63287012,-122.28457685,NORTHWEST ELECTRIC & SOLAR
Single family,2013-12-19,47.56312022,-122.39377048,SOLARCITY CORPORATION
Single family,2018-07-17,47.69516825,-122.3694349,PUGET SOUND SOLAR
Single family,2019-04-30,47.68854032,-122.35559674,Sphere Solar Energy
Single family,2010-04-07,47.685273,-122.39546029,POWER SOLUTIONS ELECTRIC LLC
Single family,2017-10-09,47.57144091,-122.37299351,A&R SOLAR
Single family,2016-12-12,47.6187657,-122.30667988,B B ELECTRIC
Single family,2013-04-01,47.67327769,-122.35718866,SUNERGY SYSTEMS
Single family,2018-03-31,47.66809357,-122.2980232,FORECAST ROOFING & SOLAR
Single family,2017-06-22,47.62302479,-122.3008598,SOLTERRA GLOBAL LLC
Single family,2014-04-25,47.67309901,-122.3295651,A&R SOLAR
Single family,2012-12-28,47.71325578,-122.27813688,SUNERGY SYSTEMS
Single family,2016-10-13,47.51882284,-122.37418164,PUGET SOUND SOLAR
Single family,2018-05-11,47.55773178,-122.36397734,PUGET SOUND SOLAR
Single family,2013-07-31,47.68865747,-122.31250698,EARL CHILDS
Single family,2014-11-03,47.6668823,-122.32529327,A&R SOLAR
Single family,2009-12-14,47.68264702,-122.38067826,GALAXY ELECTRIC
Single family,2019-04-01,47.54775374,-122.26076994,ARTISAN ELECTRIC INC
Single family,2010-06-24,47.68867326,-122.29839427,NA
Single family,2008-05-06,47.5374718,-122.37974541,JOE BEATTIE ELECTRIC
Single family,2019-12-06,47.68401183,-122.28604288,NORTHWEST ELECTRIC & SOLAR
Single family,2019-12-12,47.55387364,-122.35900193,Sun Path Electric LLC
Single family,2015-06-24,47.54319979,-122.38596305,SUNERGY SYSTEMS
Single family,2016-02-22,47.72558074,-122.33319325,ARTISAN ELECTRIC INC
Single family,2017-10-03,47.65730238,-122.33480034,PUGET SOUND SOLAR
Single family,2014-11-24,47.50099437,-122.38051234,ARTISAN ELECTRIC INC
Single family,2018-08-01,47.69002622,-122.36225653,SME INC OF SEATTLE
Single family,2015-08-05,47.63095365,-122.37068136,SUNERGY SYSTEMS
Single family,2018-10-04,47.65357873,-122.33002922,NORTHWEST ELECTRIC & SOLAR
Single family,2018-12-13,47.65062875,-122.36983697,NORTHWEST ELECTRIC & SOLAR
Single family,2013-06-18,47.6951136,-122.31861893,SUNERGY SYSTEMS
Single family,2016-03-31,47.69635159,-122.3604565,A&R SOLAR
Single family,2016-07-01,47.6642102,-122.31777614,A&R SOLAR
Single family,2015-03-17,47.70607194,-122.37115097,SUNERGY SYSTEMS
Single family,2018-03-20,47.57598687,-122.38274034,SUNERGY SYSTEMS
Single family,2011-09-27,47.54589379,-122.39874808,PUGET SOUND SOLAR
Single family,2019-09-24,47.65212268,-122.33717401,SUNERGY SYSTEMS
Single family,2019-11-12,47.59397472,-122.29864961,PUGET SOUND SOLAR
Single family,2015-11-17,47.66632308,-122.33740387,PUGET SOUND SOLAR
Single family,2014-11-26,47.51264043,-122.3841005,ARTISAN ELECTRIC INC
Single family,2011-09-06,47.68972235,-122.30766457,SUNERGY SYSTEMS
Single family,2014-10-14,47.52571165,-122.35883899,PUGET SOUND SOLAR
Single family,2012-05-16,47.67710448,-122.35771753,PUGET SOUND SOLAR
Single family,2019-08-30,47.55096014,-122.35626785,PUGET SOUND SOLAR
Single family,2015-09-04,47.70256367,-122.38236575,ALL CITY ELECTRIC INCORPORATED
Single family,2012-11-29,47.6826435,-122.28543958,PUGET SOUND SOLAR
Single family,2013-08-02,47.67241538,-122.33496854,WEST SEATTLE ELECTRIC & SOLAR
Single family,2013-10-22,47.68931465,-122.35734185,ARTISAN ELECTRIC INC
Single family,2011-09-12,47.54035231,-122.37550538,WEST SEATTLE ELECTRIC & SOLAR
Single family,2018-11-13,47.66259371,-122.32376394,SUNERGY SYSTEMS
Single family,2013-09-26,47.56987655,-122.38105076,ARTISAN ELECTRIC INC
Single family,2009-01-30,47.68820545,-122.3025731,NORTHWEST MECHANICAL INC
Single family,2018-02-14,47.68087184,-122.34852873,PUGET SOUND SOLAR
Single family,2014-02-27,47.69038902,-122.38139891,EARL CHILDS
Single family,2019-05-08,47.53800059,-122.35224764,NORTHWEST ELECTRIC & SOLAR
Single family,2015-03-06,47.59362419,-122.29093024,SUNERGY SYSTEMS
Single family,2015-01-21,47.72821186,-122.30917172,EARL CHILDS
Single family,2015-12-04,47.62350673,-122.2995865,ARTISAN ELECTRIC INC
Single family,2014-04-17,47.63732381,-122.30085925,ARTISAN ELECTRIC INC
Single family,2019-05-13,47.68614449,-122.30863626,"PINNACLE ROOFING PROFESSIONALS, LLC"
Single family,2013-12-06,47.59468522,-122.29094617,SUNERGY SYSTEMS
Single family,2013-08-15,47.61365566,-122.28528421,NORTHWEST MECHANICAL INC
Single family,2012-12-28,47.69917971,-122.38015117,NA
Single family,2015-11-13,47.58425226,-122.39211606,SUNERGY SYSTEMS
Single family,2016-07-19,47.57189489,-122.40316757,PUGET SOUND SOLAR
Single family,2018-04-03,47.5555935,-122.3652334,SOLTERRA GLOBAL LLC
Single family,2019-12-11,47.7198245,-122.3000143,Sphere Solar Energy
Single family,2017-10-25,47.61611509,-122.30212423,NORTHWEST ELECTRIC & SOLAR
Single family,2009-09-03,47.67819936,-122.29382367,PUGET SOUND SOLAR
Multifamily,2018-07-13,47.66503385,-122.31281902,SME INC OF SEATTLE
Single family,2013-05-16,47.63184705,-122.35441228,WEST SEATTLE ELECTRIC & SOLAR
Single family,2013-06-14,47.67632994,-122.38949855,SUNERGY SYSTEMS
Single family,2013-06-25,47.61233708,-122.28791167,A&R SOLAR
Single family,2015-11-23,47.57328068,-122.39448459,ARTISAN ELECTRIC INC
Single family,2014-12-22,47.56356936,-122.29194914,PUGET SOUND SOLAR
Single family,2015-10-13,47.53338924,-122.38365006,PUGET SOUND SOLAR
Single family,2013-12-11,47.62469708,-122.31024774,PUGET SOUND SOLAR
Single family,2013-08-20,47.68186046,-122.39369023,PUGET SOUND SOLAR
Single family,2014-02-03,47.62402081,-122.29686515,NA
Single family,2016-05-09,47.64821628,-122.36752516,SME INC OF SEATTLE
Single family,2015-07-21,47.57485996,-122.38282349,ARTISAN ELECTRIC INC
Multifamily,2014-05-23,47.58596588,-122.31626467,ARTISAN ELECTRIC INC
Single family,2013-12-30,47.63039725,-122.31156315,PUGET SOUND SOLAR
Single family,2019-01-10,47.67902415,-122.35406226,Solterra Global LLC
Single family,2014-04-24,47.5102221,-122.37892502,PUGET SOUND SOLAR
Single family,2016-11-15,47.56829961,-122.28044932,PUGET SOUND SOLAR
Single family,2008-05-13,47.68481584,-122.3301188,JOE BEATTIE ELECTRIC
Single family,2014-10-27,47.69158655,-122.36536733,NA
Single family,2015-07-07,47.65882778,-122.34104041,WESTERN SOLAR
Single family,2018-10-04,47.69833206,-122.31141926,SME INC OF SEATTLE
Single family,2009-08-24,47.54168567,-122.37817688,ARTISAN ELECTRIC INC
Single family,2015-12-01,47.64580486,-122.30606377,SME INC OF SEATTLE
Single family,2016-01-26,47.64204185,-122.37293244,ARTISAN ELECTRIC INC
Single family,2016-11-08,47.68680228,-122.33707572,NORTHWEST ELECTRIC & SOLAR
Single family,2016-02-11,47.54898792,-122.31081836,PUGET SOUND SOLAR
Single family,2018-04-18,47.62650131,-122.36162723,A&R SOLAR
Single family,2016-08-16,47.66613406,-122.27301321,PUGET SOUND SOLAR
Single family,2012-10-25,47.68080232,-122.26871378,PUGET SOUND SOLAR
Single family,2017-11-22,47.70859664,-122.27768056,SOLTERRA GLOBAL LLC
Single family,2018-01-17,47.55503251,-122.27901511,A&R SOLAR
Single family,2017-09-26,47.57494731,-122.28453244,SME INC OF SEATTLE
Single family,2014-06-19,47.56593293,-122.29701405,ARTISAN ELECTRIC INC
Single family,2011-11-14,47.67179513,-122.37285525,QUALITY ELECTRIC PLUS LLC
Single family,2013-10-02,47.65786497,-122.2761444,PUGET SOUND SOLAR
Single family,2015-06-18,47.63174865,-122.308933,EARL CHILDS
Single family,2015-07-01,47.64357316,-122.30195304,PUGET SOUND SOLAR
Single family,2010-07-09,47.69487526,-122.39669206,ARTISAN ELECTRIC INC
Single family,2014-03-11,47.62612824,-122.30509567,PUGET SOUND SOLAR
Single family,2011-11-29,47.64402364,-122.4169992,PUGET SOUND SOLAR
Single family,2014-03-26,47.62102788,-122.30441231,ARTISAN ELECTRIC INC
Single family,2014-08-04,47.66698081,-122.32481856,A&R SOLAR
Single family,2014-05-15,47.70086564,-122.35906836,ARTISAN ELECTRIC INC
Single family,2017-06-05,47.51241625,-122.25547169,SOLTERRA GLOBAL LLC
Single family,2018-08-01,47.68931651,-122.31145623,NA
Single family,2017-06-12,47.64543629,-122.31684063,SUNERGY SYSTEMS
Single family,2015-11-20,47.69122097,-122.37010537,ARTISAN ELECTRIC INC
Single family,2011-07-08,47.62751839,-122.36178681,SUNERGY SYSTEMS
Multifamily,2015-09-04,47.67562719,-122.38729929,SUNERGY SYSTEMS
Single family,2015-05-26,47.67639314,-122.28735292,PUGET SOUND SOLAR
Single family,2009-10-02,47.6464751,-122.32052831,PUGET SOUND SOLAR
Single family,2015-06-11,47.66169198,-122.36006153,SUNERGY SYSTEMS
Single family,2013-08-08,47.66759883,-122.32993456,ARTISAN ELECTRIC INC
Single family,2014-01-10,47.55589704,-122.271906,PUGET SOUND SOLAR
Single family,2017-09-08,47.67195678,-122.35232258,SOLX CORP
Single family,2010-08-30,47.64751475,-122.31680077,PUGET SOUND SOLAR
Single family,2016-10-03,47.68060734,-122.36753163,NA
Single family,2013-05-13,47.68005879,-122.39469324,SUNERGY SYSTEMS
Single family,2015-08-12,47.54193398,-122.28644753,EARL CHILDS
Single family,2013-04-17,47.65975007,-122.33658205,SUNERGY SYSTEMS
Single family,2010-09-29,47.67357878,-122.35674074,SUNERGY SYSTEMS
Single family,2017-08-17,47.67313402,-122.36046338,ARTISAN ELECTRIC INC
Single family,2015-06-23,47.70168538,-122.3408127,ARTISAN ELECTRIC INC
Single family,2018-07-03,47.55756749,-122.27911868,A&R SOLAR
Single family,2012-08-28,47.53666555,-122.37866396,ARTISAN ELECTRIC INC
Single family,2014-11-04,47.52842557,-122.35817136,SUNERGY SYSTEMS
Single family,2018-10-25,47.55608493,-122.29448422,PUGET SOUND SOLAR
Single family,2014-11-12,47.60992019,-122.29181478,ARTISAN ELECTRIC INC
Single family,2014-10-01,47.55905908,-122.29877283,PUGET SOUND SOLAR
Single family,2018-06-05,47.70377843,-122.30873086,InvestSolar LLC
Single family,2017-09-05,47.67835066,-122.39166859,SUNERGY SYSTEMS
Single family,2013-09-24,47.66089722,-122.35993378,ARTISAN ELECTRIC INC
Single family,2013-02-05,47.68784849,-122.36088135,PUGET SOUND SOLAR
Single family,2015-10-01,47.56181986,-122.31899299,PUGET SOUND SOLAR
Single family,2011-08-22,47.64481868,-122.36251125,SUNERGY SYSTEMS
Single family,2014-06-06,47.67056422,-122.33605982,SME INC OF SEATTLE
Single family,2013-04-02,47.70269767,-122.34968956,PUGET SOUND SOLAR
Single family,2014-03-25,47.63621492,-122.31450267,ARTISAN ELECTRIC INC
Single family,2016-02-03,47.56073609,-122.27793542,ARTISAN ELECTRIC INC
Single family,2014-05-30,47.65344453,-122.37265011,PUGET SOUND SOLAR
Single family,2015-06-25,47.67467745,-122.40327456,PUGET SOUND SOLAR
Single family,2010-08-02,47.56472568,-122.27233801,PUGET SOUND SOLAR
Single family,2012-06-14,47.61826509,-122.28290054,PUGET SOUND SOLAR
Single family,2015-02-24,47.54579317,-122.31978372,ARTISAN ELECTRIC INC
Single family,2013-12-02,47.673874,-122.39357976,EARL CHILDS
Single family,2014-07-01,47.5838131,-122.29006428,ARTISAN ELECTRIC INC
Single family,2013-12-24,47.57274923,-122.31113141,PUGET SOUND SOLAR
Single family,2015-09-11,47.69186568,-122.37248812,EARL CHILDS
Single family,2015-05-05,47.67116406,-122.2965686,PUGET SOUND SOLAR
Single family,2018-05-24,47.6877688,-122.30974279,SUNERGY SYSTEMS
Single family,2014-03-24,47.63929213,-122.30536343,PUGET SOUND SOLAR
Single family,2014-10-31,47.56358727,-122.29172614,PUGET SOUND SOLAR
Single family,2014-11-25,47.6192755,-122.28732418,PUGET SOUND SOLAR
