"","GEOID","Unit","Area","PopDensity","HomeOwn","SingleFamily","Edu","HomeValue","Income","White","Poverty","Gini"
"1","53033000100",3970,1904892.8503932,0.4305754,0.2657431,0.3783351,0.4712942,0.6154,0.55143,0.5531578,0.7625381,0.5317
"2","53033000200",3757,3275142.357266,0.2680494,0.5480437,0.5557656,0.6084274,0.4696,0.77463,0.6834491,0.8827822,0.3538
"3","53033000300",1172,1204214.980363,0.245222,0.7030717,0.6756757,0.4734043,0.5021,1.00917,0.6915002,0.9076087,0.4447
"4","53033000401",4019,1265332.9400717,0.5646735,0.2926101,0.3366261,0.3823426,0.3738,0.32877,0.6279916,0.730575,0.5478
"5","53033000402",2398,1793721.7503334,0.2893425,0.4232694,0.655,0.4951202,0.586,0.7215,0.8246628,0.8903226,0.4859
"6","53033000500",1315,2851775.0552928,0.1102121,0.9239544,0.8909287,0.7214668,0.8316,1.48906,0.8619154,0.9488164,0.45
"7","53033000600",3374,3753308.2179503,0.2185539,0.5773563,0.6317249,0.4929392,0.5407,0.77269,0.618798,0.8388082,0.3773
"8","53033000700",2310,1287234.9206534,0.4235435,0.4727273,0.5081458,0.4926778,0.4318,0.6431,0.6291269,0.7890195,0.4429
"9","53033000800",1126,1146189.0554197,0.2476904,0.7309059,0.7668038,0.6783217,0.5681,1.025,0.7527298,0.8776023,0.4064
"10","53033000900",898,1003724.0618628,0.2152982,0.8195991,0.8440367,0.7434402,0.922,1.4775,0.7454882,0.9533364,0.3837
"11","53033001000",753,952675.2468943,0.213714,0.6706507,0.8206186,0.6101695,0.6143,1.10956,0.7151277,0.8266208,0.4116
"12","53033001100",1053,1054319.0814192,0.2447077,0.7540361,0.8093883,0.6843734,0.6171,0.95573,0.7670543,0.8934109,0.4188
"13","53033001200",3763,1839432.2747797,0.3796824,0.2532554,0.2616408,0.489662,0.4673,0.51807,0.6486254,0.7208261,0.4676
"14","53033001300",2353,1185007.8777219,0.3964531,0.3837654,0.6336429,0.4894202,0.5956,0.7285,0.5996169,0.8158798,0.4538
"15","53033001400",2425,2151256.9073336,0.2632879,0.6057732,0.7132928,0.5972379,0.6027,0.93948,0.7865466,0.903072,0.4325
"16","53033001500",1123,1174680.2390133,0.2326591,0.7515583,0.798913,0.6163127,0.8665,1.28059,0.830955,0.9290157,0.4256
"17","53033001600",1898,1970424.3869264,0.2420291,0.8113804,0.8643022,0.7108991,0.8727,1.43125,0.8087649,0.9161765,0.437
"18","53033001701",2155,889959.1971595,0.4739543,0.4023202,0.4817276,0.6032436,0.4132,0.75162,0.7240398,0.7939782,0.384
