id,cx,cy
8002,-122.345,47.6121
10500,-122.386,47.5574
4500,-122.323,47.6686
6000,-122.352,47.6441
6600,-122.33,47.6329
6700,-122.345,47.6322
6800,-122.356,47.636
6900,-122.367,47.6344
402,-122.352,47.7169
500,-122.371,47.7225
1100,-122.307,47.7065
1200,-122.323,47.7071
1300,-122.342,47.7023
1500,-122.396,47.697
3500,-122.352,47.6725
4000,-122.248,47.6798
4100,-122.263,47.6603
4200,-122.284,47.6702
3400,-122.362,47.6741
4700,-122.376,47.6658
4800,-122.361,47.6604
8400,-122.324,47.6135
7300,-122.334,47.62
7500,-122.317,47.6184
8001,-122.355,47.6149
8200,-122.332,47.6104
8300,-122.328,47.6118
8500,-122.325,47.6051
8700,-122.308,47.6059
8800,-122.298,47.6073
8900,-122.284,47.5964
9000,-122.309,47.5983
9100,-122.322,47.5984
1000,-122.296,47.7064
11800,-122.261,47.5227
11101,-122.277,47.5395
11900,-122.252,47.5081
12000,-122.381,47.5129
11200,-122.326,47.529
11300,-122.345,47.5274
12100,-122.387,47.5068
7401,-122.325,47.6229
11500,-122.376,47.5302
11600,-122.391,47.5291
11700,-122.283,47.5202
100,-122.285,47.7263
200,-122.31,47.7266
300,-122.333,47.7305
401,-122.353,47.7289
600,-122.333,47.7179
700,-122.302,47.7157
800,-122.286,47.7113
1400,-122.366,47.7067
1600,-122.382,47.7007
2200,-122.274,47.6936
2800,-122.35,47.6851
6500,-122.318,47.631
7200,-122.343,47.6195
3100,-122.396,47.687
3200,-122.401,47.675
3300,-122.377,47.676
3600,-122.324,47.6772
3900,-122.282,47.6794
5801,-122.386,47.6552
7700,-122.297,47.6191
7600,-122.308,47.6219
7800,-122.278,47.6135
4600,-122.338,47.674
4900,-122.351,47.6568
5000,-122.342,47.6609
5301,-122.313,47.6615
5302,-122.302,47.6539
5700,-122.414,47.6603
6400,-122.305,47.6285
5802,-122.38,47.634
5900,-122.368,47.6484
6100,-122.322,47.6448
6200,-122.301,47.6394
6300,-122.276,47.6361
7000,-122.357,47.6282
11102,-122.262,47.5396
3000,-122.374,47.6851
4400,-122.312,47.6703
7100,-122.357,47.6224
2700,-122.331,47.6869
10402,-122.31,47.5538
10702,-122.373,47.5468
11402,-122.365,47.5207
11401,-122.362,47.5297
4302,-122.304,47.6647
10002,-122.31,47.5766
1702,-122.364,47.6965
9600,-122.388,47.5894
9701,-122.411,47.5733
9702,-122.396,47.5719
9800,-122.383,47.572
9900,-122.361,47.5749
10100,-122.272,47.5673
10200,-122.257,47.5548
10300,-122.283,47.5541
10600,-122.392,47.5481
10800,-122.352,47.548
10900,-122.32,47.5422
1701,-122.354,47.6964
10401,-122.296,47.5532
10701,-122.366,47.5429
11001,-122.286,47.5384
4301,-122.3,47.6694
7402,-122.324,47.6188
10001,-122.305,47.568
11002,-122.299,47.5404
3800,-122.296,47.6794
7900,-122.308,47.6144
2500,-122.302,47.6839
900,-122.272,47.707
8100,-122.339,47.6062
5400,-122.339,47.6492
8600,-122.317,47.6071
5100,-122.332,47.6585
5200,-122.323,47.659
5600,-122.407,47.6407
9200,-122.334,47.6005
9300,-122.331,47.5764
1800,-122.342,47.694
1900,-122.326,47.6965
2000,-122.312,47.6955
2100,-122.298,47.6954
2400,-122.288,47.6867
2600,-122.312,47.6827
2900,-122.361,47.6851
9400,-122.31,47.5882
9500,-122.283,47.5821
