id,cx,cy
14000US53033000100,-122.282,47.7263
14000US53033000200,-122.31,47.7266
14000US53033000300,-122.333,47.7305
14000US53033000401,-122.353,47.7289
14000US53033000402,-122.352,47.7169
14000US53033000500,-122.371,47.7224
14000US53033000600,-122.333,47.7179
14000US53033000700,-122.302,47.7157
14000US53033000800,-122.286,47.7113
14000US53033000900,-122.27,47.7075
14000US53033001000,-122.296,47.7064
14000US53033001100,-122.307,47.7065
14000US53033001200,-122.323,47.7071
14000US53033001300,-122.342,47.7023
14000US53033001400,-122.366,47.7067
14000US53033001500,-122.396,47.697
14000US53033001600,-122.382,47.7007
14000US53033001701,-122.354,47.6964
14000US53033001702,-122.364,47.6965
14000US53033001800,-122.342,47.694
14000US53033001900,-122.326,47.6965
14000US53033002000,-122.312,47.6955
14000US53033002100,-122.298,47.6954
14000US53033002200,-122.272,47.6936
14000US53033002400,-122.288,47.6867
14000US53033002500,-122.302,47.6839
14000US53033002600,-122.312,47.6827
14000US53033002700,-122.331,47.6869
14000US53033002800,-122.35,47.6851
14000US53033002900,-122.361,47.6851
14000US53033003000,-122.374,47.6851
14000US53033003100,-122.396,47.687
14000US53033003200,-122.401,47.675
14000US53033003300,-122.377,47.676
14000US53033003400,-122.362,47.6741
14000US53033003500,-122.352,47.6725
14000US53033003600,-122.324,47.6772
14000US53033003800,-122.296,47.6794
14000US53033003900,-122.282,47.6794
14000US53033004000,-122.247,47.6798
14000US53033004100,-122.263,47.6601
14000US53033004200,-122.284,47.6702
14000US53033004301,-122.3,47.6694
14000US53033004302,-122.304,47.6647
14000US53033004400,-122.312,47.6703
14000US53033004500,-122.323,47.6686
14000US53033004600,-122.338,47.674
14000US53033004700,-122.376,47.6658
14000US53033004800,-122.361,47.6604
14000US53033004900,-122.351,47.6568
14000US53033005000,-122.342,47.6609
14000US53033005100,-122.332,47.6585
14000US53033005200,-122.323,47.659
14000US53033005301,-122.313,47.6615
14000US53033005302,-122.302,47.6539
14000US53033005400,-122.339,47.6492
14000US53033005600,-122.407,47.6407
14000US53033005700,-122.414,47.6603
14000US53033005801,-122.386,47.6552
14000US53033005802,-122.38,47.634
14000US53033005900,-122.368,47.6484
14000US53033006000,-122.352,47.6441
14000US53033006100,-122.322,47.6448
14000US53033006200,-122.301,47.6394
14000US53033006300,-122.276,47.6362
14000US53033006400,-122.305,47.6285
14000US53033006500,-122.318,47.631
14000US53033006600,-122.33,47.6329
14000US53033006700,-122.345,47.6322
14000US53033006800,-122.356,47.636
14000US53033006900,-122.367,47.6344
14000US53033007000,-122.357,47.6282
14000US53033007100,-122.357,47.6224
14000US53033007200,-122.343,47.6195
14000US53033007300,-122.334,47.62
14000US53033007401,-122.325,47.6229
14000US53033007402,-122.324,47.6188
14000US53033007500,-122.317,47.6184
14000US53033007600,-122.308,47.6219
14000US53033007700,-122.297,47.6191
14000US53033007800,-122.279,47.6136
14000US53033007900,-122.308,47.6144
14000US53033008001,-122.355,47.6149
14000US53033008002,-122.345,47.6121
14000US53033008100,-122.339,47.6062
14000US53033008200,-122.332,47.6104
14000US53033008300,-122.328,47.6118
14000US53033008400,-122.324,47.6135
14000US53033008500,-122.325,47.6051
14000US53033008600,-122.317,47.6071
14000US53033008700,-122.308,47.6059
14000US53033008800,-122.298,47.6073
14000US53033008900,-122.285,47.5964
14000US53033009000,-122.309,47.5983
14000US53033009100,-122.322,47.5984
14000US53033009200,-122.334,47.6005
14000US53033009300,-122.331,47.5764
14000US53033009400,-122.31,47.5882
14000US53033009500,-122.283,47.582
14000US53033009600,-122.388,47.5894
14000US53033009701,-122.411,47.5733
14000US53033009702,-122.396,47.5719
14000US53033009800,-122.383,47.572
14000US53033009900,-122.361,47.5749
14000US53033010001,-122.305,47.568
14000US53033010002,-122.31,47.5766
14000US53033010100,-122.275,47.5668
14000US53033010200,-122.259,47.5538
14000US53033010300,-122.283,47.5541
14000US53033010401,-122.296,47.5532
14000US53033010402,-122.31,47.5538
14000US53033010500,-122.386,47.5574
14000US53033010600,-122.392,47.5481
14000US53033010701,-122.366,47.5429
14000US53033010702,-122.373,47.5468
14000US53033010800,-122.352,47.548
14000US53033010900,-122.32,47.5422
14000US53033011001,-122.286,47.5384
14000US53033011002,-122.299,47.5404
14000US53033011101,-122.277,47.5395
14000US53033011102,-122.26,47.5394
14000US53033011200,-122.326,47.529
14000US53033011300,-122.345,47.5274
14000US53033011401,-122.362,47.5297
14000US53033011402,-122.365,47.5207
14000US53033011500,-122.376,47.5302
14000US53033011600,-122.391,47.5291
14000US53033011700,-122.283,47.5202
14000US53033011800,-122.259,47.5231
14000US53033011900,-122.252,47.5085
14000US53033012000,-122.381,47.5129
14000US53033012100,-122.387,47.5068
14000US53033026001,-122.236,47.499
14000US53033026400,-122.312,47.5102
14000US53033026500,-122.337,47.5128
