id,cx,cy
971600,-73.154,43.1038
970601,-73.045,42.8704
970402,-73.0318,43.1941
971400,-73.1189,43.2611
970401,-73.0758,43.16
951100,-71.9916,44.9061
951300,-72.1749,44.9612
951700,-72.3768,44.753
951400,-72.1955,44.9319
951500,-72.2197,44.9415
951200,-72.1041,44.9426
951900,-72.1183,44.8188
2304,-73.2155,44.5341
2201,-73.1739,44.509
3102,-73.0984,44.4126
2303,-73.2851,44.5554
2202,-73.1497,44.5484
2502,-73.182,44.4896
2501,-73.1774,44.4968
4100,-73.2071,44.4784
3304,-73.2626,44.4683
3402,-73.2725,44.3912
2104,-73.1493,44.6161
3101,-73.0795,44.4561
3401,-73.1858,44.384
2103,-73.0906,44.6254
951600,-72.4062,44.929
951800,-72.1661,44.7585
971100,-73.1802,42.8587
971000,-73.2435,42.8856
970900,-73.1776,42.91
970500,-72.9204,43.2104
971200,-73.1931,42.8844
970800,-73.208,42.9804
971300,-73.212,42.7919
950200,-71.8695,44.8027
950100,-71.6977,44.8478
959000,-72.1198,44.1096
959400,-72.6064,43.9374
959700,-72.1963,43.9328
959200,-72.5414,44.1094
959300,-72.6539,44.0001
959500,-72.4113,43.9274
959600,-72.2485,43.8356
959800,-72.1581,44.011
954100,-72.4364,44.4052
954300,-72.7458,44.3853
954400,-72.7714,44.282
955800,-72.8751,44.2131
954500,-72.6041,44.2098
955400,-72.4988,44.1646
954600,-72.5868,44.275
954000,-72.3464,44.3331
954700,-72.5571,44.2691
954900,-72.5741,44.2481
955000,-72.5075,44.2893
955300,-72.4666,44.205
953200,-72.685,44.648
953500,-72.6377,44.5482
953300,-72.5647,44.6246
955100,-72.5,44.204
955200,-72.5131,44.1974
955600,-72.8598,44.1106
953000,-72.6125,44.7294
953100,-72.8188,44.6278
953400,-72.4845,44.5322
953600,-72.7218,44.4814
962800,-72.8389,43.6003
963200,-72.9934,43.6177
963800,-73.1909,43.498
959101,-72.3985,44.1135
965700,-72.4353,43.574
966600,-72.5035,43.2745
966700,-72.4533,43.3106
965400,-72.5856,43.7417
966100,-72.4715,43.3884
10600,-73.1457,44.8105
10500,-73.125,44.908
10200,-72.7526,44.9223
10300,-72.6103,44.9073
10700,-73.0909,44.8126
10101,-73.0564,44.9656
10102,-72.9088,44.9384
4200,-73.2132,44.4827
966000,-72.4208,43.4769
964000,-72.8693,43.4341
964200,-72.9914,43.3516
964300,-73.1874,43.359
963000,-72.9616,43.6156
963100,-72.9794,43.6131
10400,-72.8759,44.8027
11000,-72.955,44.7052
955501,-72.7137,44.1556
955502,-72.701,44.088
952000,-72.26,44.6436
967300,-72.8035,43.2036
968400,-72.6341,42.8613
968300,-72.5919,42.9304
967900,-72.8431,42.9578
968600,-72.5714,42.8773
967200,-72.6507,43.123
967600,-72.5102,43.0745
967400,-72.7991,43.1009
967100,-72.5053,43.1849
967500,-72.9061,43.0282
967800,-72.7006,42.9699
968200,-72.7416,42.829
968700,-72.5908,42.7732
967000,-72.4607,43.1463
967700,-72.5304,42.9946
968500,-72.5668,42.8373
968000,-72.863,42.8768
968100,-72.8668,42.7831
2301,-73.2045,44.5867
20200,-73.308,44.6696
20100,-73.2853,44.8912
962200,-73.0802,43.7997
600,-73.1922,44.4837
800,-73.2085,44.4609
900,-73.2086,44.4713
1100,-73.2223,44.4517
960900,-73.2894,43.9016
960500,-73.0706,44.1244
961000,-73.1054,43.9003
960400,-73.2675,44.0924
960300,-73.2556,44.1664
960200,-73.2772,44.2063
960100,-73.0674,44.2282
960600,-72.9358,43.9914
960800,-73.1591,43.9885
960700,-73.1058,44.0112
3600,-73.1792,44.4623
3900,-73.1977,44.469
950500,-71.763,44.5344
965000,-72.3188,43.7521
955700,-72.7963,44.1814
954200,-72.6027,44.3689
954800,-72.5691,44.258
965100,-72.5522,43.8145
965600,-72.3299,43.6418
965800,-72.5525,43.5973
966200,-72.6,43.4003
966300,-72.7044,43.3952
965502,-72.3627,43.69
965501,-72.4084,43.6556
4002,-73.154,44.4647
3301,-73.1696,44.428
959102,-72.2697,44.086
200,-73.2487,44.4901
980000,-73.1516,44.4722
2701,-73.0937,44.5275
2702,-73.0293,44.5202
100,-73.2512,44.5182
300,-73.2217,44.502
2601,-73.1238,44.4916
1000,-73.2207,44.47
2400,-73.1917,44.4976
965902,-72.5556,43.4929
966501,-72.617,43.2888
966800,-72.7598,43.8644
966502,-72.7691,43.3026
965901,-72.6916,43.5744
2101,-73.188,44.6601
2602,-73.0978,44.4879
3000,-72.9932,44.3942
3501,-73.2359,44.3089
2800,-72.963,44.4763
3502,-73.0928,44.3292
3503,-72.9522,44.289
2900,-72.9181,44.5128
963700,-73.2666,43.6171
962100,-72.9008,43.7676
962600,-73.0615,43.6138
962700,-72.978,43.624
962500,-73.0366,43.6518
962300,-73.2688,43.7087
962400,-73.0438,43.71
957100,-71.923,44.5676
957400,-72.04,44.4583
957000,-72.1012,44.606
957700,-72.348,44.5236
957300,-72.0345,44.5497
957800,-72.2043,44.2649
957600,-72.1262,44.432
957200,-71.9721,44.5391
957500,-71.9826,44.4526
957900,-72.0128,44.3481
963300,-72.9759,43.5979
963400,-72.9854,43.5305
963500,-73.0862,43.4901
963600,-73.1741,43.6328
10800,-73.0783,44.8112
10900,-73.1277,44.7282
