"","V1","V2"
"1",1,13
"2",1,15
"3",2,22
"4",3,10
"5",3,11
"6",3,12
"7",3,13
"8",3,19
"9",4,2
"10",4,11
"11",4,17
"12",4,18
"13",4,22
"14",5,12
"15",5,13
"16",5,15
"17",5,20
"18",5,59
"19",10,190
"20",11,3
"21",11,4
"22",11,13
"23",11,16
"24",11,17
"25",11,22
"26",12,3
"27",12,5
"28",12,19
"29",12,59
"30",12,62
"31",13,3
"32",13,5
"33",13,11
"34",13,22
"35",16,3
"36",17,11
"37",18,4
"38",19,3
"39",19,12
"40",19,62
"41",19,63
"42",20,5
"43",22,2
"44",22,4
"45",24,28
"46",24,35
"47",25,30
"48",25,35
"49",28,24
"50",30,25
"51",35,24
"52",35,25
"53",40,42
"54",40,50
"55",42,40
"56",42,48
"57",42,50
"58",48,40
"59",48,42
"60",50,55
"61",50,79
"62",57,188
"63",58,60
"64",59,5
"65",59,12
"66",59,62
"67",59,68
"68",60,58
"69",60,61
"70",60,65
"71",60,69
"72",60,71
"73",60,73
"74",60,108
"75",61,60
"76",61,64
"77",61,65
"78",61,69
"79",61,70
"80",61,71
"81",61,72
"82",62,12
"83",62,19
"84",62,59
"85",62,63
"86",62,66
"87",62,68
"88",62,72
"89",63,19
"90",63,62
"91",63,66
"92",63,190
"93",64,57
"94",64,61
"95",64,66
"96",64,70
"97",64,71
"98",64,72
"99",65,60
"100",65,61
"101",65,71
"102",65,92
"103",65,96
"104",65,101
"105",65,105
"106",65,108
"107",66,62
"108",66,63
"109",66,64
"110",66,72
"111",67,62
"112",68,59
"113",68,62
"114",68,69
"115",68,72
"116",69,58
"117",69,60
"118",69,61
"119",69,68
"120",69,72
"121",69,73
"122",70,57
"123",70,64
"124",70,71
"125",70,116
"126",71,65
"127",71,92
"128",71,96
"129",71,110
"130",72,61
"131",72,62
"132",72,64
"133",72,67
"134",72,68
"135",72,69
"136",73,58
"137",73,60
"138",73,69
"139",79,50
"140",92,65
"141",92,71
"142",92,93
"143",92,96
"144",92,101
"145",92,110
"146",93,96
"147",93,101
"148",93,102
"149",94,93
"150",95,102
"151",96,65
"152",96,71
"153",96,93
"154",96,101
"155",96,105
"156",100,101
"157",101,65
"158",101,92
"159",101,93
"160",101,96
"161",101,100
"162",101,103
"163",101,105
"164",101,107
"165",103,93
"166",103,101
"167",103,102
"168",103,104
"169",103,107
"170",104,103
"171",104,107
"172",105,65
"173",105,96
"174",105,101
"175",105,107
"176",105,108
"177",108,65
"178",108,105
"179",110,71
"180",110,92
"181",110,115
"182",115,110
"183",115,113
"184",115,116
"185",115,202
"186",116,70
"187",116,110
"188",116,192
"189",116,202
"190",119,124
"191",120,121
"192",120,239
"193",121,122
"194",122,135
"195",123,125
"196",127,120
"197",127,121
"198",127,122
"199",127,131
"200",127,228
"201",127,240
"202",128,129
"203",129,235
"204",129,241
"205",131,241
"206",142,150
"207",155,14
"208",156,158
"209",156,171
"210",157,162
"211",157,171
"212",157,182
"213",159,165
"214",160,26
"215",162,157
"216",162,171
"217",165,159
"218",165,175
"219",171,157
"220",171,158
"221",171,175
"222",171,182
"223",172,157
"224",174,175
"225",175,158
"226",175,159
"227",175,165
"228",175,171
"229",175,174
"230",175,176
"231",175,182
"232",176,165
"233",176,167
"234",176,236
"235",179,159
"236",182,157
"237",184,135
"238",184,183
"239",184,185
"240",184,189
"241",184,196
"242",185,135
"243",185,193
"244",185,194
"245",186,42
"246",187,192
"247",187,202
"248",189,184
"249",189,185
"250",189,187
"251",189,193
"252",190,10
"253",190,19
"254",190,63
"255",190,199
"256",192,187
"257",192,193
"258",192,200
"259",192,202
"260",193,185
"261",193,189
"262",193,192
"263",194,188
"264",194,192
"265",194,195
"266",195,185
"267",196,184
"268",198,194
"269",199,10
"270",199,195
"271",199,198
"272",200,116
"273",200,188
"274",200,192
"275",200,194
"276",200,202
"277",202,115
"278",202,187
"279",202,200
"280",204,209
"281",204,210
"282",204,213
"283",210,204
"284",216,242
"285",221,215
"286",227,237
"287",228,127
"288",228,131
"289",228,239
"290",228,240
"291",228,243
"292",231,216
"293",231,242
"294",232,233
"295",232,235
"296",232,237
"297",232,241
"298",232,248
"299",233,246
"300",233,247
"301",233,248
"302",236,165
"303",236,230
"304",237,240
"305",239,158
"306",239,243
"307",240,127
"308",240,227
"309",240,228
"310",240,237
"311",240,241
"312",241,237
"313",242,216
"314",242,231
"315",242,244
"316",243,227
"317",244,231
"318",244,242
"319",244,246
"320",244,247
"321",246,247
"322",247,233
"323",247,244
"324",247,246
"325",248,232
"326",248,233
"327",248,237
