"","orig","orig.lon","orig.lat","dest","dest.lon","dest.lat"
"1",971600,-73.154,43.1038,971400,-73.1189,43.2611
"2",971600,-73.154,43.1038,970401,-73.0758,43.16
"3",971600,-73.154,43.1038,970500,-72.9204,43.2104
"4",971600,-73.154,43.1038,970800,-73.208,42.9804
"5",971600,-73.154,43.1038,967500,-72.9061,43.0282
"6",970601,-73.045,42.8704,970900,-73.1776,42.91
"7",970601,-73.045,42.8704,970800,-73.208,42.9804
"8",970402,-73.0318,43.1941,970500,-72.9204,43.2104
"9",971400,-73.1189,43.2611,971600,-73.154,43.1038
"10",971400,-73.1189,43.2611,970401,-73.0758,43.16
"11",971400,-73.1189,43.2611,970500,-72.9204,43.2104
"12",971400,-73.1189,43.2611,964200,-72.9914,43.3516
"13",971400,-73.1189,43.2611,964300,-73.1874,43.359
"14",970401,-73.0758,43.16,971600,-73.154,43.1038
"15",970401,-73.0758,43.16,970500,-72.9204,43.2104
"16",951100,-71.9916,44.9061,951200,-72.1041,44.9426
"17",951100,-71.9916,44.9061,951900,-72.1183,44.8188
"18",951300,-72.1749,44.9612,951400,-72.1955,44.9319
"19",951300,-72.1749,44.9612,951500,-72.2197,44.9415
"20",951300,-72.1749,44.9612,951200,-72.1041,44.9426
"21",951300,-72.1749,44.9612,951900,-72.1183,44.8188
"22",951300,-72.1749,44.9612,951600,-72.4062,44.929
"23",951700,-72.3768,44.753,951900,-72.1183,44.8188
"24",951700,-72.3768,44.753,951600,-72.4062,44.929
"25",951700,-72.3768,44.753,951800,-72.1661,44.7585
"26",951700,-72.3768,44.753,953300,-72.5647,44.6246
"27",951700,-72.3768,44.753,953000,-72.6125,44.7294
"28",951700,-72.3768,44.753,953400,-72.4845,44.5322
"29",951700,-72.3768,44.753,10300,-72.6103,44.9073
"30",951500,-72.2197,44.9415,951400,-72.1955,44.9319
"31",951500,-72.2197,44.9415,951900,-72.1183,44.8188
"32",951500,-72.2197,44.9415,951600,-72.4062,44.929
"33",951200,-72.1041,44.9426,951100,-71.9916,44.9061
"34",951200,-72.1041,44.9426,951900,-72.1183,44.8188
"35",951900,-72.1183,44.8188,951100,-71.9916,44.9061
"36",951900,-72.1183,44.8188,951400,-72.1955,44.9319
"37",951900,-72.1183,44.8188,951500,-72.2197,44.9415
"38",951900,-72.1183,44.8188,951200,-72.1041,44.9426
"39",951900,-72.1183,44.8188,951600,-72.4062,44.929
